xltime,trade-price,trade-volume,bid-price,bid-volume,ask-price,ask-volume
2017-01-03 09:00:00.158000-05:00,224.80000000000004,650.0,224.80000000000004,9,224.83,12
2017-01-03 09:00:00.346000-05:00,224.83,91.0,224.8,1,224.83,3
2017-01-03 09:00:05.709000-05:00,224.8,140.0,224.49,2,224.83,3
2017-01-03 09:00:05.719000-05:00,224.49,110.0,224.14,100,224.83,3
2017-01-03 09:00:50.549000-05:00,224.83,309.0,224.83,89,224.87,20
2017-01-03 09:00:50.580000-05:00,224.83,265.0,224.83,42,224.87,10
2017-01-03 09:01:16.438000-05:00,224.86333333333334,50.0,224.83,42,224.87,9
2017-01-03 09:02:23.068000-05:00,224.77,600.0,224.77,14,224.86,2
2017-01-03 09:03:06.637000-05:00,224.77,110.0,224.77,8,224.86,2
2017-01-03 09:05:27.623000-05:00,224.77,2000.0,224.76,80,224.77,90
2017-01-03 09:05:49.706000-05:00,224.77,3500.0,224.76666666666665,80,224.79,9
2017-01-03 09:06:27.083000-05:00,224.79500000000002,200.0,224.8,48,224.87,9
2017-01-03 09:06:31.802000-05:00,224.8,100.0,224.8,47,224.87,9
2017-01-03 09:10:50.665000-05:00,224.8,100.0,224.8,1,224.83,23
2017-01-03 09:10:56.405000-05:00,224.83,1000.0,224.8,1,224.83,13
2017-01-03 09:11:09.904000-05:00,224.82,150.0,224.8,10,224.82,38
2017-01-03 09:11:11.164000-05:00,224.8,20.0,224.8,10,224.82,38
2017-01-03 09:11:14.844000-05:00,224.80000000000004,4000.0,224.8,9,224.82,38
2017-01-03 09:11:20.794000-05:00,224.8,980.0,224.76,20,224.8,3
2017-01-03 09:11:47.803000-05:00,224.8,50.0,224.76,30,224.8,2
2017-01-03 09:12:38.751000-05:00,224.8,270.0,224.8,10,224.87,9
2017-01-03 09:12:59.661000-05:00,224.8,10.0,224.8,10,224.87,9
2017-01-03 09:13:27.300000-05:00,224.81,100.0,224.81,1,224.87,9
2017-01-03 09:14:48.357000-05:00,224.81,100.0,224.78,42,224.86,10
2017-01-03 09:15:25.835000-05:00,224.79500000000002,2000.0,224.78,22,224.85,10
2017-01-03 09:17:36.894000-05:00,224.835,2000.0,224.84,10,224.87,9
2017-01-03 09:17:55.273000-05:00,224.84,1000.0,224.84,10,224.87,9
2017-01-03 09:23:36.746000-05:00,224.78,500.0,224.78,17,224.82,29
2017-01-03 09:23:41.176000-05:00,224.78,1000.0,224.78,7,224.82,29
2017-01-03 09:24:14.256000-05:00,224.78,200.0,224.66,30,224.82,29
2017-01-03 09:34:40.605000-05:00,224.74,1000.0,224.68,29,224.74,39
2017-01-03 09:41:46.789000-05:00,224.83,50.0,224.82,59,224.86,20
2017-01-03 09:41:47.889000-05:00,224.84500000000003,350.0,224.81,19,224.86,17
2017-01-03 09:44:58.905000-05:00,224.87,400.0,224.8111111111111,308,224.86,106
2017-01-03 09:46:10.313000-05:00,224.85,100.0,224.85,48,224.88,2
2017-01-03 09:59:01.776000-05:00,224.86,400.0,224.83,10,224.86,16
2017-01-03 10:00:10.614000-05:00,224.9,455.0,224.87,49,224.91,26
2017-01-03 10:00:10.654000-05:00,224.91,100.0,224.87,98,224.91,51
2017-01-03 10:00:41.604000-05:00,224.93,300.0,224.9,98,224.94,63
2017-01-03 10:01:27.683000-05:00,224.96,200.0,224.93,5,224.96,23
2017-01-03 10:06:33.030000-05:00,224.95,500.0,224.95,14,224.96,5
2017-01-03 10:17:26.485000-05:00,224.96,500.0,224.95,19,224.97,10
2017-01-03 10:17:28.494000-05:00,224.965,480.0,224.95,19,224.97,6
2017-01-03 10:24:36.226000-05:00,224.86,100.0,224.84,70,224.85,300
2017-01-03 10:25:18.275000-05:00,224.85,2000.0,224.84,100,224.85,280
